Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"CITIBANK PARKWAY PARADE80 MARINE PARADE ROAD",,159682,1.285883,103.822906,,,
Central,"DBS TAI SENG26 TAI SENG STREET",,319457,1.333117,103.852359,,,
Central,"IECON ACTIVE EXPRESS MART36 CIRCUIT ROAD",,119578,1.278715,103.8013131,,,
Central,"IECON LI FENG YUAN78 CIRCUIT ROAD",,319378,1.3372679,103.854614,,,
Central,"KAMPONG UBI COMMUNITY CLUB10 JALAN UBI",#B1-K13,078877,1.275185,103.8445519,,,
Central,"MARINE PARADE TOWN COUNCIL - MARINE TERRACE OFFICE50 MARINE TERRACE",#01-334/33,320074,1.324803,103.857822,,,
Central,"NEX SHOPPING MALL - STATION 123 SERANGOON CENTRAL",,570222,1.3580692,103.8480787,,,
Central,"NEX SHOPPING MALL - STATION 223 SERANGOON CENTRAL",#01-146,310116,1.3404312,103.8461174,,,
Central,"NEX SHOPPING MALL - STATION 323 SERANGOON CENTRAL",#01-349,142049,1.3004579,103.7973192,,,
Central,"NEX SHOPPING MALL - STATION 423 SERANGOON CENTRAL",#01-952,560632,1.379999,103.841406,,,
Central,"POSB 9 EUNOS9 EUNOS CRESENT",#01 - 2682,560505,1.374855,103.849951,,,
Central,"POSB BEDOK NORTH539 BEDOK NORTH STREET 3",#01-1115,310203,1.342027,103.8490209,,,
Central,"RHB GEYLANG ROAD537 GEYLANG ROAD",#01-547,330024,1.3186437,103.8623865,,,
Central,"STANDARD CHARTERED MARINE PARADE87 MARINE PARADE CENTRAL",#01-1863,560128,1.3708109,103.8436139,,,
Central,"628 SENJA ROAD628 SENJA ROAD",#01-274,310234,1.338597,103.857812,,,
Central,"CHEERS CHOA CHU KANG303 CHOA CHU KANG AVENUE 4",#01-156,560107,1.3714519,103.837222,,,
Central,"CITIBANK VIVOCITY BRANCH1 HARBOUR FRONT WALK",#01-2052,560554,1.372784,103.857763,,,
Central,"CITY HARVEST CHURCH - STATION 2NO 1 JURONG WEST STREET 91",#B2-01,560443,1.366129,103.855221,,,
Central,"CPF JURONG BRANCH - STATION 121 JURONG EAST STREET 13",,238869,1.3059564,103.8313258,,,
Central,"CPF JURONG BRANCH - STATION 221 JURONG EAST STREET 13",,018947,1.2686885,103.8609695,,,
Central,"DAWSON PLACE - STATION 157 DAWSON ROAD",,238801,1.3039538,103.8314425,,,
Central,"DAWSON PLACE - STATION 257 DAWSON ROAD",#01-02,207542,1.309751,103.860054,,,
Central,"FARMART CENTRE67 SUNGEI TENGAH ROAD",,420002,1.3155683,103.8990709,,,
Central,"GIANT BUKIT BATOK284 BUKIT BATOK EAST AVENUE 3",,420002,1.3155683,103.8990709,,,
Central,"HONG KAH TOWN COUNCIL140 TECK WHYE LANE",,199597,1.302638,103.8622199,,,
Central,"HONG KAH TOWN COUNCIL372 BUKIT BATOK STREET 31",,179030,1.2917766,103.8448938,,,
Central,"IECON CHOP CHUAN LEONG28 JALAN BUKIT MERAH",,179030,1.2917766,103.8448938,,,
Central,"IECON LIM THIONG BENG453 JURONG WEST STREET 42",,219428,1.307297,103.849171,,,
Central,"IECON MING HUAT MINIMART727 JURONG WEST AVENUE 5",,219428,1.307297,103.849171,,,
Central,"IECON RONG XING PTE LTD75D REDHILL ROAD",,575701,1.3565169,103.8362765,,,
Central,"IECON SIN YEW LEONG354 CLEMENTI AVENUE 2",,018982,1.2800785,103.8552787,,,
Central,"IECON TECK GUAN77 TELOK BLANGAH DRIVE",,018990,1.276274,103.854629,,,
Central,"JEM52 JURONG GATEWAY ROAD",,018970,1.2862989,103.8592169,,,
Central,"KIM SAN LENG (BUKIT PANJANG)259 BUKIT PANJANG",,SINGAPORE,1.2862989,103.8592169,,,
Central,"LAURELS SUPERMARKET2 PANDAN VALLEY ULU PANDAN ROAD",,018970,1.2862989,103.8592169,,,
Central,"NUS BLOCK E49 ENGINEERING DRIVE",,018970,1.2862989,103.8592169,,,
Central,"POSB BLOCK 502 JURONG WEST502 JURONG WEST AVENUE 1",,039594,1.290989,103.857422,,,
Central,"POSB BUKIT BATOK EAST272 BUKIT BATOK EAST AVENUE 4",,039594,1.290989,103.857422,,,
